as_of,skladowa,faza,symbol,kierunek,data_wejscia,cena_wejscia,cena_biezaca,planowane_wyjscie,dzwignia,waga,k,wielkosc_proc_kapitalu,depozyt_proc_kapitalu,zwrot_biezacy_proc,przed_startem
2026-09-25,trend,4,ADAUSDT,long,2026-09-25,0.2586,0.2586,2026-10-02,2.0,0.003609918714947522,0.5699873952881126,0.20576081655347486,0.10288040827673743,0.0,False
2026-09-25,trend,4,AKEUSDT,long,2026-09-25,0.032779,0.032779,2026-10-02,2.0,0.00047433303230178116,0.5699873952881126,0.027036384958080445,0.013518192479040222,0.0,False
2026-09-25,trend,4,BNBUSDT,long,2026-09-25,777.53,777.53,2026-10-02,2.0,0.0070565961524192205,0.5699873952881126,0.4022170860517549,0.20110854302587744,0.0,False
2026-09-25,trend,4,BTCUSDT,long,2026-09-25,84056.0,84056.0,2026-10-02,2.0,0.006700873875653805,0.5699873952881126,0.38194136465380724,0.19097068232690362,0.0,False
2026-09-25,trend,4,BTWUSDT,long,2026-09-25,1.3154,1.3154,2026-10-02,2.0,0.0009447267780314251,0.5699873952881126,0.05384823554690629,0.026924117773453146,0.0,False
2026-09-25,trend,4,CYSUSDT,short,2026-09-25,0.1854,0.1854,2026-10-02,2.0,-0.0009398947991867717,0.5699873952881126,0.05357281884333117,0.026786409421665585,-0.0,False
2026-09-25,trend,4,DOGEUSDT,long,2026-09-25,0.09893,0.09893,2026-10-02,2.0,0.004024857747824757,0.5699873952881126,0.22941181840878122,0.11470590920439061,0.0,False
2026-09-25,trend,4,ENAUSDT,long,2026-09-25,0.26801,0.26801,2026-10-02,2.0,0.0020988432080882116,0.5699873952881126,0.11963141732963457,0.05981570866481729,0.0,False
2026-09-25,trend,4,ETHUSDT,long,2026-09-25,2690.56,2690.56,2026-10-02,2.0,0.004945572567565881,0.5699873952881126,0.281891402599522,0.140945701299761,0.0,False
2026-09-25,trend,4,HYPEUSDT,long,2026-09-25,92.368,92.368,2026-10-02,2.0,0.0034091542456663355,0.5699873952881126,0.1943174948622765,0.09715874743113825,0.0,False
2026-09-25,trend,4,LINKUSDT,long,2026-09-25,13.924,13.924,2026-10-02,2.0,0.0041056212500320466,0.5699873952881126,0.23401523623452913,0.11700761811726457,0.0,False
2026-09-25,trend,4,PUMPUSDT,short,2026-09-25,0.004194,0.004194,2026-10-02,2.0,-0.0021490442847718425,0.5699873952881126,0.12249281542359074,0.06124640771179537,-0.0,False
2026-09-25,trend,4,SOLUSDT,long,2026-09-25,122.1,122.1,2026-10-02,2.0,0.004482508416565717,0.5699873952881126,0.25549732967153355,0.12774866483576677,0.0,False
2026-09-25,trend,4,SUIUSDT,long,2026-09-25,1.1943,1.1943,2026-10-02,2.0,0.0029929661271175315,0.5699873952881126,0.1705952966981272,0.0852976483490636,0.0,False
2026-09-25,trend,4,TRUMPUSDT,short,2026-09-25,2.122,2.122,2026-10-02,2.0,-0.0024511644015132324,0.5699873952881126,0.13971328126414728,0.06985664063207364,-0.0,False
2026-09-25,trend,4,TUTUSDT,short,2026-09-25,0.026,0.026,2026-10-02,2.0,-0.0006911168704581032,0.5699873952881126,0.039392790483208616,0.019696395241604308,-0.0,False
2026-09-25,trend,4,XRPUSDT,long,2026-09-25,1.5677,1.5677,2026-10-02,2.0,0.003984207752913141,0.5699873952881126,0.22709481993696654,0.11354740996848327,0.0,False
2026-09-25,trend,4,ZECUSDT,long,2026-09-25,1555.2,1555.2,2026-10-02,2.0,0.00200382221564997,0.5699873952881126,0.11421534053187811,0.057107670265939055,0.0,False
2026-09-25,trend,5,1000PEPEUSDT,long,2026-09-19,0.0041222,0.0044875,2026-09-26,2.0,0.003023297575195855,0.693784942241152,0.2097518333585071,0.10487591667925356,8.861772839745763,True
2026-09-25,trend,5,ACEUSDT,short,2026-09-19,0.15482,0.1944,2026-09-26,2.0,-0.0009407120636121161,0.693784942241152,0.06526518647186869,0.03263259323593434,-25.565172458338694,True
2026-09-25,trend,5,ADAUSDT,long,2026-09-19,0.2279,0.2586,2026-09-26,2.0,0.003693454804162038,0.693784942241152,0.25624633279758646,0.12812316639879323,13.470820535322513,True
2026-09-25,trend,5,BNBUSDT,long,2026-09-19,762.52,777.53,2026-09-26,2.0,0.0070172555149909405,0.693784942241152,0.4868466212159394,0.2434233106079697,1.9684729580863536,True
2026-09-25,trend,5,BTCUSDT,long,2026-09-19,81225.6,84056.0,2026-09-26,2.0,0.0069303657356038235,0.693784942241152,0.4808183391585957,0.24040916957929784,3.4846156876649603,True
2026-09-25,trend,5,BTWUSDT,long,2026-09-19,0.5909,1.3154,2026-09-26,2.0,0.0009954673142599886,0.693784942241152,0.06906402331268209,0.034532011656341045,122.60957860890164,True
2026-09-25,trend,5,CYSUSDT,short,2026-09-19,0.1492,0.1854,2026-09-26,2.0,-0.0009022731240237784,0.693784942241152,0.06259835072365809,0.031299175361829044,-24.262734584450406,True
2026-09-25,trend,5,DOGEUSDT,short,2026-09-19,0.08771,0.09893,2026-09-26,2.0,-0.004668755537135592,0.693784942241152,0.3239112290669675,0.16195561453348375,-12.79215596853267,True
2026-09-25,trend,5,ENAUSDT,long,2026-09-19,0.20434,0.26801,2026-09-26,2.0,0.002188810769080368,0.693784942241152,0.15185639530032347,0.07592819765016173,31.158852892238453,True
2026-09-25,trend,5,ETHUSDT,long,2026-09-19,2631.59,2690.56,2026-09-26,2.0,0.00483752149389765,0.693784942241152,0.33561995702341124,0.16780997851170562,2.240850588427512,True
2026-09-25,trend,5,HYPEUSDT,long,2026-09-19,92.208,92.368,2026-09-26,2.0,0.003283576194748336,0.693784942241152,0.22780957206178956,0.11390478603089478,0.1735207357279167,True
2026-09-25,trend,5,LINKUSDT,long,2026-09-19,12.416,13.924,2026-09-26,2.0,0.004274088320081312,0.693784942241152,0.2965298118281195,0.14826490591405975,12.14561855670102,True
2026-09-25,trend,5,PUMPUSDT,short,2026-09-19,0.004253,0.004194,2026-09-26,2.0,-0.0021276710790961505,0.693784942241152,0.14761461567188922,0.07380730783594461,1.3872560545497348,True
2026-09-25,trend,5,SOLUSDT,long,2026-09-19,111.04,122.1,2026-09-26,2.0,0.0045300596990399495,0.693784942241152,0.3142887206647402,0.1571443603323701,9.960374639769443,True
